SECURITY_ID,UNDERLYING_SYMBOL
18566,RRKABEL
18571,GNA
18581,KIRLOSBROS
18593,EMSLIMITED
18608,ZAGGLE
18614,SAMHI
18644,DIAMINESQ
18652,ICICIPRULI
18659,MARATHON
18679,HPL
18721,NUVAMA
18743,SIGNATURE
18755,KALAMANDIR
18760,YATRA
18783,IDFNIFTYET
1879,CARYSIL
18822,ENDURANCE
18827,TARAPUR
18863,VERTOZ
18866,MAZDA
18883,SJVN
18889,KSL
18908,PNBHOUSING
18921,VBL
18931,SUNDARAM
18944,KINGFA
18962,RAJRATAN
18967,KAPSTON
18977,UNIVASTU
19,STYRENIX
1901,CUMMINSIND
19015,MVGJL
19020,JSWINFRA
19025,KIRLOSIND
19036,PODDARMENT
19061,MANAPPURAM
19073,AARVI
19084,ITBEES
19097,SILLYMONKS
19111,NBIFIN
19113,UDS
19126,KIOCL
19184,SFL
1919,KOPRAN
19196,TI
19205,HEADSUP
19211,HMVL
1922,KOTAKBANK
19223,TCIEXP
19224,SENSEXETF
1923,WEALTH
19233,AARTISURF
19234,LAURUSLABS
19235,IMFA
19237,MONIFTY500
19265,BLISSGVS
1927,LIQUIDETF
19279,THEJO
19289,MOM50
19292,TERASOFT
19299,ITDC
193,ARVIND
19322,HISARMETAL
19372,SPCENET
19401,BOROLTD
19410,ROSSARI
19438,AHLEAST
1949,KSB
19501,TICL
19525,IITL
19531,BAJAJCON
19543,HDFCGOLD
19578,UGARSUGAR
19585,BSE
19597,IRMENERGY
19599,PRAKASHSTL
19631,PRICOLLTD
19633,ITETF
1964,TRENT
19640,ALPHAETF
19646,MAXESTATES
19679,GOLDIETF
19686,BLUEJET
19705,LIQUIDSBI
19731,GPPL
19761,ADFFOODS
19783,MUFIN
1979,LMW
19795,CELLO
19800,WELINV
19813,HONASA
19867,AMNPLST
19876,LGHL
19878,ESAFSFB
199,MASFIN
19913,DMART
19931,ORISSAMINE
19933,EGOLD
19937,KILITCH
1994,LIBERTSHOE
19943,DEEPAKNTR
1997,LICHSGFIN
2004,AHLADA
20063,HEALTHX
20071,INTENTECH
20072,INFRABEES
20092,TASTYBITE
201,UNIDT
20110,GREENPOWER
20134,RAMKY
20152,ASKAUTOLTD
20159,ARIHANTSUP
20160,CANTABIL
20178,AKSHARCHEM
2018,LUMAXIND
20182,ASHOKA
20188,WABAG
20203,URJA
20224,JWL
20242,OBEROIRLTY
20257,ESILVER
20261,IREDA
2029,IRFC
20293,TATATECH
20296,SHAH
203,ASHAPURMIN
20302,PRESTIGE
20303,GANDHAR
2031,M&M
20314,NRAIL
20322,FEDFINA
20323,RESPONIND
20329,CGCL
20372,FLAIR
20374,COALINDIA
20413,IOLCP
20425,NACLIND
2043,RAMCOCEM
20453,APCL
2048,INDIGOPNTS
20481,WIPL
2049,CHENNPETRO
20527,PRUDMOULI
20531,BAJEL
20532,AXISGOLD
20534,GRAVITA
20547,BBNPPGOLD
20551,DOMS
20556,INDIASHLTR
2056,HOMEFIRST
20560,DOLLAR
206,ASHIMASYN
20607,INOXINDIA
20616,SUPERHOUSE
20621,PENIND
20642,JINDWORLD
20698,SCHAND
2073,VTL
20760,RPPINFRA
20778,JAMNAAUTO
20788,MOTISONS
20790,SUMEETINDS
20822,SURAJEST
20825,HUDCO
20830,MOIL
20831,MUTHOOTMF
2085,MAHSCOOTER
20852,ZEELEARN
20854,HAPPYFORGE
20874,RBZJEWEL
20877,PSPPROJECT
20878,MUFTI
2088,MAHSEAMLES
20905,AZAD
20936,KIRLOSENG
20950,RKDL
20956,SUNCLAY
21001,PSB
21017,FMNL
2106,MANGLMCEM
21062,INNOVACAP
2107,STOVEKRAFT
21077,SURANASOL
21091,STARCEMENT
21113,BFINVEST
21119,KICL
21131,TEJASNET
21154,ERIS
21174,CDSL
21195,GTPL
212,ASHOKLEY
21238,AUBANK
2124,MASTEK
21247,DIGIDRIVE
21252,AXISNIFTY
21254,LOWVOLIETF
21275,SUMMITSEC
21314,DYNPRO
21334,JYOTICNC
21339,STEELXIND
21362,SALASAR
21383,PALASHSECU
21392,MAGADSUGAR
21399,GANGESSECU
21401,TATAGOLD
2142,MFSL
21423,MOM100
21427,THEINVEST
21428,TATSILV
2144,BDL
21469,OPTIEMUS
21478,NEXT50BETA
21484,STEL
21501,SIS
21508,COCHINSHIP
21551,HALEOSLABS
21578,COMSYN
21614,ABCAPITAL
21623,APEX
21683,BRNL
21690,DIXON
21704,DCAL
21705,MEDIASSIST
21726,MATRIMONY
21740,CHOLAHLDNG
21749,CAPACITE
21750,LIQUIDCASE
2176,AKG
21770,ICICIGI
21794,DAVANGERE
21808,SBILIFE
2181,BOSCHLTD
21828,TEXRAIL
2183,TSFINV
21840,DIAMONDYD
2188,GENCON
21951,HFCL
21957,INDTERRAIN
21959,NIFTYBETF
21986,BANKBETF
22,ACC
220,IEX
2202,MIRCELECTR
22233,DHUNINV
22239,EBBETF0431
22255,NDRAUTO
22277,WORTHPERI
2229,MODIRUBBER
22344,ALPL30IETF
22347,MACPOWER
22365,ITIETF
22377,MAXHEALTH
2241,MODTHREAD
22415,LOVABLE
22423,TOTAL
22428,MAXIND
22433,HDFCNIFBAN
22440,BANKBETA
22463,EPACK
22477,NOVAAGRI
22488,ITBETA
22521,GILT5BETA
22524,GILT10BETA
22566,BLSE
2259,MOREPENLAB
22592,HEALTHADD
22595,HDFCPSUBK
22602,PFS
2263,BANDHANBNK
22649,PARKHOTELS
22656,SIGNPOST
22663,JSFB
22670,RPTECH
22675,CAPITALSFB
2268,MOTOGENFIN
22717,ENTERO
22722,LICNMID100
22730,VSTL
22739,MON100
2275,IRISDOREME
2277,MRF
22824,JUNIPER
2283,MRPL
22832,SMALLCAP
22846,GPTHEALTH
2289,HLEGLAS
22901,GOLDCASE
22930,PLATIND
2294,MTNL
22947,EXICOM
22980,MUKKA
2303,HAL
23043,RKSWAMY
23056,JGCHEM
2306,BESTAGRO
23066,GOPAL
2307,MUNJALSHOW
23127,SCILAL
2313,MURUDCERA
23142,PVSL
2316,HEIDELBERG
23175,KRYSTAL
23181,MOSMALL250
23184,MOREALTY
2319,NCC
2320,SMCGLOBAL
2328,CPSEETF
2331,JAYNECOIND
23365,AQYLON
23402,SRM
23407,LIQUIDADD
23446,171NSETEST
23447,181NSETEST
23480,SINCLAIR
23489,BHARTIHEXA
